,index,sample_size_method,num_trees,max_depth,feat_choice,fold_num,auc
189,4,half,50,100,half_sqrt,5,0.6315981707084682
190,0,half,50,100,2sqrt,1,0.6960788450731556
191,1,half,50,100,2sqrt,2,0.7060487809150912
192,2,half,50,100,2sqrt,3,0.6826706973771846
193,3,half,50,100,2sqrt,4,0.6863083276727424
194,4,half,50,100,2sqrt,5,0.71380725985074
195,0,half,50,500,sqrt,1,0.6991432988745997
196,1,half,50,500,sqrt,2,0.706795685405311
197,2,half,50,500,sqrt,3,0.6768590523134005
198,3,half,50,500,sqrt,4,0.6641164525076417
199,4,half,50,500,sqrt,5,0.6725578054734299
200,0,half,50,500,half_sqrt,1,0.6582700034499163
201,1,half,50,500,half_sqrt,2,0.6526275911302649
202,2,half,50,500,half_sqrt,3,0.6250292815232661
203,3,half,50,500,half_sqrt,4,0.5766509720043344
204,4,half,50,500,half_sqrt,5,0.6315981707084682
205,0,half,50,500,2sqrt,1,0.6960788450731556
206,1,half,50,500,2sqrt,2,0.7060487809150912
207,2,half,50,500,2sqrt,3,0.6826706973771846
208,3,half,50,500,2sqrt,4,0.6863083276727424
209,4,half,50,500,2sqrt,5,0.71380725985074
210,0,half,50,1000,sqrt,1,0.6991432988745997
211,1,half,50,1000,sqrt,2,0.706795685405311
212,2,half,50,1000,sqrt,3,0.6768590523134005
213,3,half,50,1000,sqrt,4,0.6641164525076417
214,4,half,50,1000,sqrt,5,0.6725578054734299
215,0,half,50,1000,half_sqrt,1,0.6582700034499163
216,1,half,50,1000,half_sqrt,2,0.6526275911302649
217,2,half,50,1000,half_sqrt,3,0.6250292815232661
218,3,half,50,1000,half_sqrt,4,0.5766509720043344
219,4,half,50,1000,half_sqrt,5,0.6315981707084682
220,0,half,50,1000,2sqrt,1,0.6960788450731556
221,1,half,50,1000,2sqrt,2,0.7060487809150912
222,2,half,50,1000,2sqrt,3,0.6826706973771846
223,3,half,50,1000,2sqrt,4,0.6863083276727424
224,4,half,50,1000,2sqrt,5,0.71380725985074
225,0,half,50,3000,sqrt,1,0.6991432988745997
226,1,half,50,3000,sqrt,2,0.706795685405311
227,2,half,50,3000,sqrt,3,0.6768590523134005
228,3,half,50,3000,sqrt,4,0.6641164525076417
229,4,half,50,3000,sqrt,5,0.6725578054734299
230,0,half,50,3000,half_sqrt,1,0.6582700034499163
231,1,half,50,3000,half_sqrt,2,0.6526275911302649
232,2,half,50,3000,half_sqrt,3,0.6250292815232661
233,3,half,50,3000,half_sqrt,4,0.5766509720043344
234,4,half,50,3000,half_sqrt,5,0.6315981707084682
235,0,half,50,3000,2sqrt,1,0.6960788450731556
236,1,half,50,3000,2sqrt,2,0.7060487809150912
237,2,half,50,3000,2sqrt,3,0.6826706973771846
238,3,half,50,3000,2sqrt,4,0.6863083276727424
239,4,half,50,3000,2sqrt,5,0.71380725985074
240,0,half,100,100,sqrt,1,0.6750724684555022
241,1,half,100,100,sqrt,2,0.6979299425823491
242,2,half,100,100,sqrt,3,0.6969385935700977
243,3,half,100,100,sqrt,4,0.6807555574873445
244,4,half,100,100,sqrt,5,0.6953944286159176
245,0,half,100,100,half_sqrt,1,0.6269217111584575
246,1,half,100,100,half_sqrt,2,0.6601202189437484
247,2,half,100,100,half_sqrt,3,0.6754754476744657
248,3,half,100,100,half_sqrt,4,0.6307751505447645
249,4,half,100,100,half_sqrt,5,0.660084339107476
250,0,half,100,100,2sqrt,1,0.7056260418814442
251,1,half,100,100,2sqrt,2,0.7188136212200383
252,2,half,100,100,2sqrt,3,0.7174841112977638
253,3,half,100,100,2sqrt,4,0.7001265714878729
254,4,half,100,100,2sqrt,5,0.7189306490135837
255,0,half,100,500,sqrt,1,0.6750724684555022
256,1,half,100,500,sqrt,2,0.6979299425823491
257,2,half,100,500,sqrt,3,0.6969385935700977
258,3,half,100,500,sqrt,4,0.6807555574873445
259,4,half,100,500,sqrt,5,0.6953944286159176
260,0,half,100,500,half_sqrt,1,0.6269217111584575
261,1,half,100,500,half_sqrt,2,0.6601202189437484
262,2,half,100,500,half_sqrt,3,0.6754754476744657
263,3,half,100,500,half_sqrt,4,0.6307751505447645
264,4,half,100,500,half_sqrt,5,0.660084339107476
265,0,half,100,500,2sqrt,1,0.7056260418814442
266,1,half,100,500,2sqrt,2,0.7188136212200383
267,2,half,100,500,2sqrt,3,0.7174841112977638
268,3,half,100,500,2sqrt,4,0.7001265714878729
269,4,half,100,500,2sqrt,5,0.7189306490135837
270,0,half,100,1000,sqrt,1,0.6750724684555022
271,1,half,100,1000,sqrt,2,0.6979299425823491
272,2,half,100,1000,sqrt,3,0.6969385935700977
273,3,half,100,1000,sqrt,4,0.6807555574873445
274,4,half,100,1000,sqrt,5,0.6953944286159176
275,0,half,100,1000,half_sqrt,1,0.6269217111584575
276,1,half,100,1000,half_sqrt,2,0.6601202189437484
277,2,half,100,1000,half_sqrt,3,0.6754754476744657
278,3,half,100,1000,half_sqrt,4,0.6307751505447645
279,4,half,100,1000,half_sqrt,5,0.660084339107476
280,0,half,100,1000,2sqrt,1,0.7056260418814442
281,1,half,100,1000,2sqrt,2,0.7188136212200383
282,2,half,100,1000,2sqrt,3,0.7174841112977638
283,3,half,100,1000,2sqrt,4,0.7001265714878729
284,4,half,100,1000,2sqrt,5,0.7189306490135837
285,0,half,100,3000,sqrt,1,0.6750724684555022
286,1,half,100,3000,sqrt,2,0.6979299425823491
287,2,half,100,3000,sqrt,3,0.6969385935700977
288,3,half,100,3000,sqrt,4,0.6807555574873445
289,4,half,100,3000,sqrt,5,0.6953944286159176
290,0,half,100,3000,half_sqrt,1,0.6269217111584575
291,1,half,100,3000,half_sqrt,2,0.6601202189437484
292,2,half,100,3000,half_sqrt,3,0.6754754476744657
293,3,half,100,3000,half_sqrt,4,0.6307751505447645
