,threshold,tpr,fpr,accuracy,f1-measure,precision,recall
21,0.21,0.8093083387201034,0.2790774029385209,0.7308812818645303,0.40393611872882723,0.2691315563198624,0.8093083387201034
22,0.22,0.8047834518422754,0.27407042600344744,0.7348142753095411,0.40613276790083186,0.27159685863874344,0.8047834518422754
23,0.23,0.8015513897866839,0.27021259131576786,0.7378732702112163,0.40796183582826123,0.2736098852603707,0.8015513897866839
24,0.24,0.7996121525533291,0.26627267503898877,0.7411507647487254,0.4104180491041805,0.2760544521312207,0.7996121525533291
25,0.25,0.7970265029088559,0.2620044324058114,0.7446467589220684,0.41292699263228394,0.27864406779661016,0.7970265029088559
26,0.26,0.7918552036199095,0.25880325043092833,0.7469045884923525,0.41350210970464135,0.2798081315669255,0.7918552036199095
27,0.27,0.7899159663865546,0.2553558236887466,0.7497450837581937,0.41564625850340137,0.2820216939764597,0.7899159663865546
28,0.28,0.78409825468649,0.2525650496593614,0.75156591405681,0.41562446462223734,0.28275058275058274,0.78409825468649
29,0.29,0.7821590174531351,0.24919970450627923,0.7543335761107065,0.4177455549801485,0.2849740932642487,0.7821590174531351
30,0.3,0.7763413057530705,0.24591644094229664,0.7565914056809905,0.4181754874651811,0.2861567786514177,0.7763413057530705
31,0.31,0.7750484809308339,0.24238693261101535,0.759577567370721,0.42077557466222143,0.28877649325626203,0.7750484809308339
32,0.32,0.7718164188752424,0.23951407699253058,0.7617625637290605,0.42198268245273024,0.2903696498054475,0.7718164188752424
33,0.33,0.7679379444085327,0.23672330296314537,0.7638018936635106,0.4228510411105179,0.2917485265225933,0.7679379444085327
34,0.34,0.7659987071751778,0.2338504473446606,0.7661325564457393,0.4246550797348146,0.2937530986613783,0.7659987071751778
35,0.35,0.7647058823529411,0.2317163260280719,0.7678805535324108,0.4260759949576805,0.29530703944083875,0.7647058823529411
36,0.36,0.7601809954751131,0.22835098087498973,0.7703568827385288,0.4272479564032698,0.29711975745325925,0.7601809954751131
37,0.37,0.7582417582417582,0.22588853320200278,0.7723233794610342,0.4287280701754386,0.2988535031847134,0.7582417582417582
38,0.38,0.755656108597285,0.22359024870721497,0.7740713765477057,0.42977941176470585,0.30028255843822244,0.755656108597285
39,0.39,0.7543632837750485,0.22104571944512846,0.7761835396941005,0.43166265951544286,0.30233160621761657,0.7543632837750485
40,0.4,0.751131221719457,0.21841910859394237,0.778150036416606,0.4327746741154563,0.30394977766152237,0.751131221719457
41,0.41,0.746606334841629,0.2157924977427563,0.7799708667152221,0.4333145751266179,0.30523255813953487,0.746606334841629
42,0.42,0.7440206851971558,0.21283756053517197,0.7823015294974508,0.435078435078435,0.3074252136752137,0.7440206851971558
43,0.43,0.7414350355526826,0.20988262332758761,0.7846321922796795,0.4368691677775662,0.30966522678185743,0.7414350355526826
44,0.44,0.7382029734970912,0.207173930887302,0.7866715222141296,0.43813543065413385,0.31151118385160936,0.7382029734970912
45,0.45,0.7369101486748546,0.20446523844701633,0.7889293517844137,0.44032444959443806,0.3139630955659598,0.7369101486748546
46,0.46,0.7317388493859082,0.2012640564721333,0.7911871813546978,0.44123952445916975,0.3158482142857143,0.7317388493859082
47,0.47,0.7285067873303167,0.19929409833374373,0.7925710123816461,0.4417875343002744,0.3170182841068917,0.7285067873303167
48,0.48,0.7259211376858435,0.19691373224985637,0.7943918426802622,0.44308542118761096,0.3188529244747303,0.7259211376858435
49,0.49,0.7226890756302521,0.1954362636460642,0.7953386744355426,0.44312326595323026,0.319519862817948,0.7226890756302521
50,0.5,0.7207498383968972,0.1937946318640729,0.7965768390386015,0.4439577941469241,0.32077100115074797,0.7207498383968972
51,0.51,0.718164188752424,0.19133218419108594,0.7984705025491624,0.44537983563840444,0.32277745496804183,0.718164188752424
52,0.52,0.7142857142857143,0.1891159812853977,0.8,0.44592413236481027,0.32414197711938986,0.7142857142857143
53,0.53,0.7117000646412411,0.18632520725601248,0.8021849963583394,0.44774298495323306,0.3266093147433996,0.7117000646412411
54,0.54,0.7078215901745314,0.18361651481572683,0.8041514930808449,0.44886247181799555,0.32863145258103243,0.7078215901745314
55,0.55,0.7052359405300582,0.1820569646228351,0.8052439912600146,0.449341021416804,0.3297068600785736,0.7052359405300582
56,0.56,0.7000646412411118,0.17975868012804727,0.8067006554989075,0.44937759336099586,0.3308890925756187,0.7000646412411118
57,0.57,0.696186166774402,0.17819912993515555,0.8076474872541879,0.44921793534932225,0.33158866995073893,0.696186166774402
58,0.58,0.6948933419521655,0.17606500861856686,0.8093954843408594,0.45101741136983425,0.3338509316770186,0.6948933419521655
59,0.59,0.6929541047188106,0.17417713206927687,0.8108521485797524,0.45222526893060544,0.33562930494677523,0.6929541047188106
60,0.6,0.691661279896574,0.17204301075268819,0.8126001456664239,0.4540632293655845,0.3379658875552748,0.691661279896574
61,0.61,0.6832579185520362,0.16990888943609947,0.8135469774217043,0.45228925973470263,0.33802366485449314,0.6832579185520362
62,0.62,0.6787330316742082,0.1682672576541082,0.8144938091769847,0.4519044544867657,0.3387096774193548,0.6787330316742082
63,0.63,0.6755009696186167,0.16629729951571862,0.8158776402039329,0.45257687310524036,0.3402800390752198,0.6755009696186167
64,0.64,0.6683904330963154,0.16481983091192645,0.8163874726875455,0.45064284157768575,0.3399079552925707,0.6683904330963154
65,0.65,0.6670976082740788,0.16268570959533776,0.818135469774217,0.4525323393992545,0.3424021234240212,0.6670976082740788
66,0.66,0.6638655462184874,0.16161864893704342,0.8187181354697742,0.45212414703940135,0.34279038718291055,0.6638655462184874
67,0.67,0.6593406593406593,0.1602232619223508,0.8194464675892207,0.4514273069263111,0.34320323014804843,0.6593406593406593
68,0.68,0.6554621848739496,0.15858163014035953,0.8204661325564457,0.4513687959047407,0.34419551934826886,0.6554621848739496
69,0.69,0.6515837104072398,0.15693999835836822,0.8214857975236708,0.4513096037609134,0.3452054794520548,0.6515837104072398
70,0.7,0.6489980607627667,0.15455963227448083,0.8233066278222869,0.4528642309427154,0.3477658468998961,0.6489980607627667
71,0.71,0.643180349062702,0.1537388163834852,0.8233794610342317,0.4507361268403171,0.346931659693166,0.643180349062702
72,0.72,0.6412411118293472,0.15209718460149388,0.8246176256372906,0.4517304189435338,0.34868189806678385,0.6412411118293472
73,0.73,0.6328377504848093,0.1499630632849052,0.825564457392571,0.4498047323684815,0.3488952245188881,0.6328377504848093
74,0.74,0.627666451195863,0.1475826972010178,0.8270939548434086,0.44995366079703425,0.3506681112314915,0.627666451195863
75,0.75,0.6205559146735617,0.14561273906262825,0.828040786598689,0.44849334267694463,0.3511338697878566,0.6205559146735617
76,0.76,0.6179702650290886,0.14397110728063695,0.8292061179898034,0.44914258867747237,0.35276752767527675,0.6179702650290886
77,0.77,0.6115061409179057,0.1420011491422474,0.8302257829570284,0.44802273265451104,0.35351270553064273,0.6115061409179057
78,0.78,0.6031027795733678,0.14019535418205697,0.8308812818645303,0.4455587392550143,0.35327527451722834,0.6031027795733678
79,0.79,0.5985778926955397,0.13756874333087088,0.8327021121631464,0.44637261990841165,0.35588009223674094,0.5985778926955397
80,0.8,0.590174531351002,0.1346958877123861,0.8343044428259286,0.4452572543282126,0.35747846515270165,0.590174531351002
81,0.81,0.583710407239819,0.1321513584502996,0.8358339402767662,0.4448275862068966,0.3593314763231198,0.583710407239819
82,0.82,0.5746606334841629,0.12985307395551177,0.8368536052439912,0.44250871080139376,0.3597733711048159,0.5746606334841629
83,0.83,0.5694893341952165,0.1272264631043257,0.8386016023306628,0.4429361488185017,0.3624023035787742,0.5694893341952165
84,0.84,0.5636716224951519,0.12386111795124354,0.8409322651128914,0.4439918533604888,0.36623267534649306,0.5636716224951519
85,0.85,0.5559146735617324,0.1206599359763605,0.8428987618353969,0.44364199123033277,0.36909871244635195,0.5559146735617324
86,0.86,0.5449256625727213,0.11745875400147747,0.8445010924981792,0.4412457471866004,0.370712401055409,0.5449256625727213
87,0.87,0.539754363283775,0.1140934088483953,0.8469045884923525,0.4427359490986214,0.3752808988764045,0.539754363283775
88,0.88,0.5294117647058824,0.11138471640810967,0.8481427530954115,0.4399677679290895,0.37637867647058826,0.5294117647058824
89,0.89,0.5216548157724629,0.10736271854223098,0.8508375819373635,0.4407427635172037,0.38156028368794326,0.5216548157724629
90,0.9,0.5100193923723335,0.10325863908725273,0.8531682447195922,0.4390651085141903,0.38544211040547144,0.5100193923723335
91,0.91,0.4970911441499677,0.09899039645407536,0.8554989075018208,0.43668370244179444,0.38936708860759495,0.4970911441499677
92,0.92,0.4848093083387201,0.0951325617663958,0.8575382374362709,0.4340277777777778,0.392875851231011,0.4848093083387201
93,0.93,0.47575953458306397,0.09135680866781581,0.8598689002184996,0.43345111896348637,0.3980530016224986,0.47575953458306397
94,0.94,0.4673561732385262,0.08585734219814496,0.8638018936635106,0.43606755126658625,0.4087054833239118,0.4673561732385262
95,0.95,0.442792501616031,0.07986538619387672,0.8663510560815731,0.42745709828393136,0.4131483715319662,0.442792501616031
96,0.96,0.4240465416936005,0.07411967495690716,0.8693372177713037,0.4224082421120412,0.4207825529185375,0.4240465416936005
97,0.97,0.40077569489334197,0.06640400558154806,0.8735615440640933,0.4166666666666667,0.4338698390482855,0.40077569489334197
98,0.98,0.37168713639301876,0.058524173027989825,0.8772760378732702,0.40564373897707234,0.44642857142857145,0.37168713639301876
99,0.99,0.32967032967032966,0.04834605597964377,0.8815731973780043,0.3854875283446712,0.4640582347588717,0.32967032967032966
100,1.0,0.0,0.0,0.8873270211216314,,,0.0
