,threshold,tpr,fpr,accuracy,f1-measure,precision,recall,learning_rate
43,0.43,0.9961215255332903,0.7740293852088976,0.31274581209031316,0.24620546413165045,0.14046121593291405,0.9961215255332903,0.01
44,0.44,0.9851325145442793,0.6987605680045965,0.37829570284049524,0.26312154696132595,0.15183819866493972,0.9851325145442793,0.01
45,0.45,0.9676793794440853,0.6230813428547977,0.4434814275309541,0.28152327221438644,0.16472271126760563,0.9676793794440853,0.01
46,0.46,0.9321266968325792,0.5242551095789214,0.5271667880553532,0.3075938566552901,0.18418699706220462,0.9321266968325792,0.01
47,0.47,0.885585003232062,0.42230977591726176,0.61238164603059,0.33986603820391964,0.21028396009209516,0.885585003232062,0.01
48,0.48,0.8455074337427279,0.3579578100632028,0.6649672250546249,0.36252771618625274,0.23072852354912682,0.8455074337427279,0.01
49,0.49,0.7821590174531351,0.28236066650250347,0.7249089584850692,0.39051153784089077,0.26021505376344084,0.7821590174531351,0.01
50,0.5,0.6864899806076277,0.19724205860625463,0.7896576839038602,0.4237829209896249,0.3064935064935065,0.6864899806076277,0.01
51,0.51,0.5882352941176471,0.1429040466223426,0.82680262199563,0.43353978084802286,0.34326669181440966,0.5882352941176471,0.01
52,0.52,0.5087265675500969,0.1012065993597636,0.854843408594319,0.44126717129240256,0.3896039603960396,0.5087265675500969,0.01
53,0.53,0.39819004524886875,0.06328490519576459,0.8760378732702112,0.41990456714383095,0.4441240086517664,0.39819004524886875,0.01
54,0.54,0.2967032967032967,0.03685463350570467,0.888055353241078,0.3739307535641548,0.5055066079295154,0.2967032967032967,0.01
55,0.55,0.21396250808015513,0.023147008126077322,0.8908958485069192,0.30648148148148147,0.5399673735725938,0.21396250808015513,0.01
56,0.56,0.15384615384615385,0.01140934088483953,0.8945375091041515,0.2474012474012474,0.6312997347480106,0.15384615384615385,0.01
57,0.57,0.10148674854557208,0.004596568989575638,0.8946831755280408,0.1784090909090909,0.7370892018779343,0.10148674854557208,0.01
58,0.58,0.07045895281189399,0.002216202905688254,0.8932993445010925,0.1295306001188354,0.8014705882352942,0.07045895281189399,0.01
59,0.59,0.0400775694893342,0.0013133054255930394,0.8906773488710852,0.07630769230769231,0.7948717948717948,0.0400775694893342,0.01
60,0.6,0.011635423400129283,0.0002462447672986949,0.8884195193008012,0.02295918367346939,0.8571428571428571,0.011635423400129283,0.01
61,0.61,0.0,0.0,0.8873270211216314,,,0.0,0.01
62,0.62,0.0,0.0,0.8873270211216314,,,0.0,0.01
63,0.63,0.0,0.0,0.8873270211216314,,,0.0,0.01
64,0.64,0.0,0.0,0.8873270211216314,,,0.0,0.01
65,0.65,0.0,0.0,0.8873270211216314,,,0.0,0.01
66,0.66,0.0,0.0,0.8873270211216314,,,0.0,0.01
67,0.67,0.0,0.0,0.8873270211216314,,,0.0,0.01
68,0.68,0.0,0.0,0.8873270211216314,,,0.0,0.01
69,0.69,0.0,0.0,0.8873270211216314,,,0.0,0.01
70,0.7,0.0,0.0,0.8873270211216314,,,0.0,0.01
71,0.71,0.0,0.0,0.8873270211216314,,,0.0,0.01
72,0.72,0.0,0.0,0.8873270211216314,,,0.0,0.01
73,0.73,0.0,0.0,0.8873270211216314,,,0.0,0.01
74,0.74,0.0,0.0,0.8873270211216314,,,0.0,0.01
75,0.75,0.0,0.0,0.8873270211216314,,,0.0,0.01
76,0.76,0.0,0.0,0.8873270211216314,,,0.0,0.01
77,0.77,0.0,0.0,0.8873270211216314,,,0.0,0.01
78,0.78,0.0,0.0,0.8873270211216314,,,0.0,0.01
79,0.79,0.0,0.0,0.8873270211216314,,,0.0,0.01
80,0.8,0.0,0.0,0.8873270211216314,,,0.0,0.01
81,0.81,0.0,0.0,0.8873270211216314,,,0.0,0.01
82,0.82,0.0,0.0,0.8873270211216314,,,0.0,0.01
83,0.83,0.0,0.0,0.8873270211216314,,,0.0,0.01
84,0.84,0.0,0.0,0.8873270211216314,,,0.0,0.01
85,0.85,0.0,0.0,0.8873270211216314,,,0.0,0.01
86,0.86,0.0,0.0,0.8873270211216314,,,0.0,0.01
87,0.87,0.0,0.0,0.8873270211216314,,,0.0,0.01
88,0.88,0.0,0.0,0.8873270211216314,,,0.0,0.01
89,0.89,0.0,0.0,0.8873270211216314,,,0.0,0.01
90,0.9,0.0,0.0,0.8873270211216314,,,0.0,0.01
91,0.91,0.0,0.0,0.8873270211216314,,,0.0,0.01
92,0.92,0.0,0.0,0.8873270211216314,,,0.0,0.01
93,0.93,0.0,0.0,0.8873270211216314,,,0.0,0.01
94,0.94,0.0,0.0,0.8873270211216314,,,0.0,0.01
95,0.95,0.0,0.0,0.8873270211216314,,,0.0,0.01
96,0.96,0.0,0.0,0.8873270211216314,,,0.0,0.01
97,0.97,0.0,0.0,0.8873270211216314,,,0.0,0.01
98,0.98,0.0,0.0,0.8873270211216314,,,0.0,0.01
99,0.99,0.0,0.0,0.8873270211216314,,,0.0,0.01
100,1.0,0.0,0.0,0.8873270211216314,,,0.0,0.01
0,0.0,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.1
1,0.01,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.1
2,0.02,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.1
3,0.03,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.1
4,0.04,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.1
5,0.05,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.1
6,0.06,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.1
7,0.07,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.1
8,0.08,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,0.1
